ժամանակ	time · Տուն գնալու ժամանակն է — It is time to go home
հեռուստացույց	TV
դիտել	to watch
նայել	to look (to watch)
սիրուն	beautiful, pretty · Ավելի սիրուն / պակաս սիրուն / ամենասիրուն — more beautiful / less beautiful / the most beautiful
երկար	long
հաստ	thick
բարձրահասակ / բոյով	tall (of people)
ցածրահասակ / կոլոտ	short (of people)
գեր / չաղ	fat
նիհար	thin, slim
ուժեղ	strong
թույլ	weak
հարուստ	rich
աղքատ	poor
հին	old (of things)
նոր	new
ավելի	more · ավելի լավ — better
պակաս	less · պակաս լավ — less good
ամենից	of all (superlative marker)
քան	than · Նա ավելի բարի է, քան ես — She is kinder than me
մազ	hair
