տուն	home, house (տանը — at home) · Ես տանն եմ։ — I am at home.
տանել	to take
որովհետև	because
երիտասարդ	young · Նրանք երիտասարդ են։ — They are young.
յասաման	lilac
հայր	father
մայր	mother
քույր	sister
հարյուր	hundred
հայելի	mirror
գույն	colour
կապույտ	blue
այո	yes
այս	this · Այս գիրքը / Այս գրքերը — this book / these books
այդ	that
այն	that one over there
մյուս	other
այսօր	today
այստեղ	here (spoken ստեղ)
այսպես	like this, this way (spoken սենց)
լույս	light
Հայաստան	Armenia
հայկական	Armenian (adjective) · հայկական կոնյակ — Armenian brandy
հունարեն	Greek (language)
Հունաստան	Greece
հունական	Greek (adjective) · հունական պար — Greek dance
ո՞վ	who? (singular) · Ո՞վ է նա։ — Who is he/she?
ովքե՞ր	who? (plural) · Ովքե՞ր են նրանք։ — Who are they?
ի՞նչ	what? (singular) · Ի՞նչ է սա։ — What is this?
ինչե՞ր	what? (plural) · Ինչե՞ր են սրանք։ — What are these?
ե՞րբ	when? (pron. երփ) · Ե՞րբ ես գնում։ — When are you going?
ինչո՞ւ / ինչի՞ / խի՞	why? (ինչո՞ւ formal, ինչի՞ spoken, խի՞ very spoken)
որտե՞ղ	where? (где, location)
ո՞ւր	where to? (куда, direction) · Ո՞ւր ես գնում։ — Where are you going?
ո՞ր	which? · Ո՞ր մեկն ես ուզում։ — Which one do you want?
ինչպե՞ս / ո՞նց	how?
ինչպիսի՞	what kind of?
քանի՞	how many? (countable)
ինչքա՞ն	how much? (uncountable)
ո՞ւմ	whom? whose? · Ո՞ւմ սուրճն է սա։ — Whose coffee is this?
լալ	to cry
տալ	to give
