դժվար	difficult, hard (pron. դըժվար) · Դժվար էր արթնանալ — It was hard to wake up
նույնը	the same
անցած շաբաթ	last week
այս ամիս	this month
դահուկ	ski · Դահուկ քշել — to ski
քշել	to ride, to drive
թիթիզ	fancy, dressed up, looking good
Նորից ասա	Say it again
երեխա	kid, child
ամենաշատը	most of all, the most · Երբ դու տանն ես, որտե՞ղ ես լինում ամենաշատը — When you are at home, where are you most of the time?
գրասեղան	desk · Ի՞նչ կա քո գրասեղանի վրա հենց հիմա — What is on your desk right now?
հենց հիմա	right now
համակարգիչ	computer, laptop (pron. համակարքիչ)
տուփ	pack, box · Ես մի օրում ծխում եմ մի տուփ սիգարետ — I smoke a pack of cigarettes a day
սիգարետ	cigarette · Օրը քսան սիգարետ եմ ծխում — I smoke twenty cigarettes a day
թունդ	strong, heavy (of cigarettes, drinks) · Թունդ սիգարետ — heavy cigarettes
քաղցր	sweet
