hy	en	phrase_hy	phrase_en	lesson	tags	note
տուն	home, house	Ես տանն եմ։	I am at home.	6	noun,home	տանը — at home
տանել	to take			6	verb	
որովհետև	because			6	conjunction	
երիտասարդ	young	Նրանք երիտասարդ են։	They are young.	6	adjective,people	
յասաման	lilac			6	noun,nature,letters	
հայր	father			6	noun,family,letters	
մայր	mother			6	noun,family,letters	
քույր	sister			6	noun,family,letters	
հյուր	guest			6	noun,people,letters	
սենյակ	room			6	noun,home,letters	
հարյուր	hundred			6	numeral,numbers,letters	
հայելի	mirror			6	noun,home,letters	
գույն	colour			6	noun,colours,letters	
կապույտ	blue			6	adjective,colours,letters	
այո	yes			6	other,letters	
այս	this			6	pronoun,letters	
այդ	that			6	pronoun,letters	
այն	that one over there			6	pronoun,letters	
նույն	same			6	adjective,letters	
մյուս	other			6	adjective,letters	
այսօր	today			6	adverb,time,letters	
այստեղ	here			6	adverb,letters	
այսպես	like this, this way			6	adverb,letters	
լույս	light			6	noun,letters	
հայ	Armenian (person)			6	noun,people,countries	
հայերեն	Armenian (language)	Դու հայերեն գիտե՞ս։	Do you know Armenian?	6	noun,languages	
Հայաստան	Armenia			6	noun,countries	
հայկական	Armenian (adjective)			6	adjective,countries	
հույն	Greek (person)			6	noun,people,countries	
հունարեն	Greek (language)			6	noun,languages	
Հունաստան	Greece			6	noun,countries	
հունական	Greek (adjective)			6	adjective,countries	
ո՞վ	who? (singular)	Ո՞վ է նա։	Who is he/she?	6	question	
ովքե՞ր	who? (plural)	Ովքե՞ր են նրանք։	Who are they?	6	question	
ի՞նչ	what? (singular)	Ի՞նչ է սա։	What is this?	6	question	
ինչե՞ր	what? (plural)	Ինչե՞ր են սրանք։	What are these?	6	question	
ե՞րբ	when?			6	question,time	
ինչո՞ւ / ինչի՞ / խի՞	why?			6	question	ինչո՞ւ formal, ինչի՞ spoken, խի՞ very spoken
որտե՞ղ	where? (где, location)			6	question	
ո՞ւր	where to? (куда, direction)			6	question	
ո՞ր	which?	Ո՞ր մեկն ես ուզում։	Which one do you want?	6	question	
ինչպե՞ս / ո՞նց	how?			6	question	
ինչպիսի՞	what kind of?			6	question	
քանի՞	how many? (countable)			6	question,numbers	
ինչքա՞ն	how much? (uncountable)			6	question,numbers	
ո՞ւմ	whom? whose?	Ո՞ւմ սուրճն է սա։	Whose coffee is this?	6	question	
գալ	to come	Ես գալիս եմ։ Ես չեմ գալիս։	I am coming. I am not coming.	6	verb	
լալ	to cry			6	verb,feelings	
տալ	to give			6	verb	
