hy	en	phrase_hy	phrase_en	lesson	tags	note
մարզիչ	coach, trainer	Ո՞վ ա քո մարզիչը։	Who is your coach?	23	noun,people,work	spoken (ա for է)
քնել	to sleep	Դու սովորաբար ժամը քանիսի՞ն ես քնում։	What time do you usually go to sleep?	23	verb	source also lists քունել
սովորաբար	usually			23	adverb,time	
դպրոց	school			23	noun,school	
մի ժամից	in an hour			23	phrase,time	ablative -ից
կարդալ	to read			23	verb,school	pron. կարթալ
գրել	to write			23	verb,school	
քայլել	to walk			23	verb	
նստել	to sit			23	verb	
խաղալ	to play			23	verb	
հիշել	to remember			23	verb,abstract	
կարոտել	to miss (someone)			23	verb,feelings	
փակել	to close			23	verb	
ուղիղ	straight	Գնա ուղիղ, հետո թեքվիր ձախ	Go straight, then turn left	23	adverb,city	
աջ	right			23	adverb,city	
ձախ	left			23	adverb,city	
թեքվել	to turn	Թեքվիր աջ / թեքվիր ձախ	Turn right / turn left	23	verb,city	
հետո	then, afterwards			23	adverb,time	
քո մասին	about you, about yourself			23	phrase,from-exercise	
