hy	en	phrase_hy	phrase_en	lesson	tags	note
մեր դասից հետո / առաջ	after / before our class			31	phrase,time	մեր — our
համայնք	community			31	noun,people	
ուղիղ	straight			31	adjective	
մեղրագույն	honey-coloured			31	adjective,colours	
միջին	medium			31	adjective	
խիտ	dense, thick			31	adjective	
այտոսկր	cheekbone			31	noun,face	
ծուռ	crooked (кривой); crazy, if about a person			31	adjective	
Ես ուզում եմ խոսել իմ ընկերոջ՝ Իլյայի մասին։	I want to talk about my friend Ilya.			31	phrase,people	
որպես	as (to work as)			31	other,work	
բարձրահասակ	tall			31	adjective,body	pron. բարցրահասակ; spoken բոյով
Ինձ թվում ա …	It seems to me … (Мне кажется)			31	phrase,colloquial	spoken
կլոր	round			31	adjective	
