hy	en	phrase_hy	phrase_en	lesson	tags	note
ողջ / ամբողջ	whole, entire	Երեկ չէ առաջին օրը ես տանն էի ողջ/ամբողջ օրը։	The day before yesterday I was at home the whole day.	19	adjective	
ոչինչ / ոչ մի բան	nothing	Ես ոչ մի բան/ոչինչ չէի անում։	I wasn't doing anything.	19	pronoun	
նախաճաշ	breakfast			19	noun,food	
նստել	to sit down			19	verb	
առաջ	before	Մեր դասից առաջ	before our class	19	postposition,time	
հետո	after	Մեր դասից հետո	after our class	19	postposition,time	
սուրճ	coffee	Մենք սուրճ էինք խմում։	We were drinking coffee.	19	noun,drinks	
եղանակ	season (of the year); weather	Ո՞րն է տարվա քո սիրած եղանակը։	What is your favourite season of the year?	19	noun,seasons,weather	
գարուն	spring	Գարնանը	in spring	19	noun,seasons	
ամառ	summer	Ամռանը	in summer	19	noun,seasons	
աշուն	autumn, fall	Աշնանը	in autumn	19	noun,seasons	
ձմեռ	winter	Ձմռանը	in winter	19	noun,seasons	
