hy	en	phrase_hy	phrase_en	lesson	tags	note
թույն	cool			3	adjective,colloquial	
պատրաստ	ready	Պատրա՞ստ ես։	Are you ready?	3	adjective	
ընտանիք	family			3	noun,family	
ընտանիքի անդամ	family member			3	phrase,family	pron. անթամ
մայր / մայրիկ	mother			3	noun,family	
հայր / հայրիկ	father			3	noun,family	
քույր / քույրիկ	sister			3	noun,family	
եղբայր / ախպեր	brother			3	noun,family	pron. եղպայր; ախպեր is spoken
որդի	son			3	noun,family	
դուստր	daughter			3	noun,family	
տատ / տատիկ	grandmother			3	noun,family	
պապ / պապիկ	grandfather			3	noun,family	
թոռ / թոռնիկ	grandchild			3	noun,family	
զարմիկ / զարմուհի	cousin (male / female)			3	noun,family	
ընկեր	friend	Ես ունեմ երկու ընկեր։	I have two friends.	3	noun,people,letters	
աղջիկ	girl			3	noun,people	
տղա	boy			3	noun,people	
իմ	my	իմ անունը	my name	3	pronoun	
քո	your (singular)	քո քույրը	your sister	3	pronoun	
նրա / իր	his, her, its	նրա ազգանունը	his surname	3	pronoun	
մեր	our	մեր որդին	our son	3	pronoun,letters	
ձեր	your (plural, polite)	ձեր տատիկը	your grandmother	3	pronoun	
նրանց / իրենց	their	նրանց եղբայրը	their brother	3	pronoun	
ես	I			3	pronoun,letters	
երկիր	country	Մեր երկիրը Իրանն է։	Our country is Iran.	3	noun,countries,letters	
երկու	two			3	numeral,numbers,letters	
երեսուն	thirty			3	numeral,numbers,letters	
երեկ	yesterday			3	adverb,time,letters	
երես	face			3	noun,face,letters	
սեր	love			3	noun,feelings,letters	
կես	half			3	noun,numbers,letters	
տե՛ս	see! (imperative)			3	verb,letters	
Կարեն	Karen (male name)			3	noun,people,letters	
մատիտ	pencil	Սա ո՞ւմ մատիտն է։ Սա իմ մատիտն է։	Whose pencil is this? This is my pencil.	3	noun,school	
մատ	finger	Ես ունեմ տասը մատ։	I have ten fingers.	3	noun,body	
գլուխ	head			3	noun,body,letters	
գլխարկ	hat			3	noun,clothes,letters	pron. գըլխարկ
խանութ	store			3	noun,city,letters	
հեռախոս	phone	Դու շատ երկար ես խոսում հեռախոսով։	You talk on the phone for a very long time.	3	noun,letters	
խաղալ	to play			3	verb,letters	
խմել	to drink	Նրանք խմում են կաթով թեյ ու խոսում անգլերեն։	They drink tea with milk and speak English.	3	verb,drinks,letters	
խոսել	to speak			3	verb,letters	
խնդրել	to ask for			3	verb,letters	
մութ	dark	Մի՛ խաղա, հիմա շատ մութ է։	Don't play, it is very dark now.	3	adjective,weather	
հայ	Armenian (person)	Դու հա՞յ ես։	Are you Armenian?	3	noun,people,countries,letters	
հույն	Greek (person)			3	noun,people,countries,letters	
հետ	with			3	postposition,letters	
հնդիկ	Indian (person)	Չէ, ես հնդիկ եմ։	No, I am Indian.	3	noun,people,countries,letters	
հարկ	floor (storey)			3	noun,home,letters	
հանել	to take off			3	verb,clothes,letters	
հարգել	to respect			3	verb,letters	
հավաքել	to collect, to gather			3	verb,letters	
հավանել	to like			3	verb,feelings,letters	
հավասար	equal			3	adjective,letters	
համալսարան	university	Աննան գնում է համալսարան։	Anna goes to university.	3	noun,school,city,letters	
