hy	en	phrase_hy	phrase_en	lesson	tags	note
լիքը	a lot of, lots of	Լիքը շաքար կա մեջը	There is a lot of sugar in it	39	other,colloquial	spoken
անելիք	things to do	Ի՞նչ անելիքներ ունես այսօր։	What do you have to do today?	39	noun	
անտառ	forest			39	noun,nature	
ճիշտն ասած / անկեղծ ասած	honestly speaking, to tell the truth			39	phrase	
գերմանացի	German (person)			39	noun,countries	
Հայաստան · հայ · հայերեն · հայկական	Armenia · Armenian · Armenian (language) · Armenian (adj.)	հայկական կոնյակ	Armenian brandy	39	noun,countries,languages	
Թուրքիա · թուրք · թուրքերեն · թուրքական	Turkey · Turk · Turkish (language) · Turkish (adj.)	թուրքական թեյ	Turkish tea	39	noun,countries,languages	
Հունաստան · հույն · հունարեն · հունական	Greece · Greek · Greek (language) · Greek (adj.)	հունական պար	Greek dance	39	noun,countries,languages	
Հնդկաստան · հնդիկ · հնդկերեն · հնդկական	India · Indian · Hindi · Indian (adj.)	հնդկական փիղ	Indian elephant	39	noun,countries,languages	
Պարսկաստան / Իրան · պարսիկ / իրանցի · պարսկերեն · պարսկական / իրանական	Persia / Iran · Persian / Iranian · Persian (language) · Persian / Iranian (adj.)	պարսկական / իրանական գորգ	Persian / Iranian rug	39	noun,countries,languages	
Չինաստան · չինացի · չինարեն · չինական	China · Chinese · Chinese (language) · Chinese (adj.)	չինական պատ	Chinese wall	39	noun,countries,languages	
Վրաստան · վրացի · վրացերեն · վրացական	Georgia · Georgian · Georgian (language) · Georgian (adj.)	վրացական խինկալի	Georgian khinkali	39	noun,countries,languages	
Ռուսաստան · ռուս · ռուսերեն · ռուսական	Russia · Russian · Russian (language) · Russian (adj.)	ռուսական օղի	Russian vodka	39	noun,countries,languages	
Ամերիկա (ԱՄՆ) · ամերիկացի · անգլերեն · ամերիկյան	America (USA) · American · English · American (adj.)	ամերիկյան դեսպանատուն	American embassy	39	noun,countries,languages	
Անգլիա · անգլիացի · անգլերեն · անգլիական	England · English (person) · English (language) · English (adj.)	անգլիական թեյ	English tea	39	noun,countries,languages	
Ֆրանսիա · ֆրանսիացի · ֆրանսերեն · ֆրանսիական	France · French (person) · French (language) · French (adj.)	ֆրանսիական խոհանոց	French cuisine	39	noun,countries,languages	
Սիրիա · սիրիացի · արաբերեն · սիրիական	Syria · Syrian · Arabic · Syrian (adj.)	սիրիական ուտելիքներ	Syrian food	39	noun,countries,languages	
Կանադա · կանադացի · անգլերեն, ֆրանսերեն · կանադական	Canada · Canadian · English, French · Canadian (adj.)	կանադական պատմություն	Canadian history	39	noun,countries,languages	
Ճապոնիա · ճապոնացի · ճապոներեն · ճապոնական	Japan · Japanese · Japanese (language) · Japanese (adj.)	ճապոնական խոհանոց	Japanese cuisine	39	noun,countries,languages	
Իտալիա · իտալացի · իտալերեն · իտալական	Italy · Italian · Italian (language) · Italian (adj.)	իտալական պաղպաղակ	Italian ice cream	39	noun,countries,languages	
Իսպանիա · իսպանացի · իսպաներեն · իսպանական	Spain · Spanish (person) · Spanish (language) · Spanish (adj.)			39	noun,countries,languages	
Շվեդիա · շվեդ / շվեդուհի · շվեդերեն · շվեդական	Sweden · Swede (m. / f.) · Swedish (language) · Swedish (adj.)			39	noun,countries,languages	
Պորտուգալիա · պորտուգալացի · պորտուգալերեն · պորտուգալական	Portugal · Portuguese (person) · Portuguese (language) · Portuguese (adj.)			39	noun,countries,languages	
Բրազիլիա · բրազիլացի · պորտուգալերեն · բրազիլական	Brazil · Brazilian · Portuguese (language) · Brazilian (adj.)			39	noun,countries,languages	
Կորեա · կորեացի · կորեերեն · կորեական	Korea · Korean · Korean (language) · Korean (adj.)			39	noun,countries,languages	
Ադրբեջան · ադրբեջանցի · ադրբեջաներեն · ադրբեջանական	Azerbaijan · Azerbaijani · Azerbaijani (language) · Azerbaijani (adj.)			39	noun,countries,languages	
