hy	en	phrase_hy	phrase_en	lesson	tags	note
մեծանալ	to grow, to get bigger			24	verb	from մեծ — big
փոքրանալ	to get smaller			24	verb	from փոքր — small
Ի՞նչ էիր անում երեկ։	What were you doing yesterday?			24	phrase,time	
ռեստորան	restaurant	Մենք Լալի ռեստորանում էինք	We were at the Lali restaurant	24	noun,city,food	
ընկերոջ	friend's; (with) a friend — gen./dat. of ընկեր	Ես ռեստորանում էի երկու ընկերոջ հետ	I was at a restaurant with two friends	24	noun,people	
հատ	piece (counting word)	Քանի՞ հատ նեգրոնի խմեցիր։	How many negronis did you drink?	24	noun	
նեգրոնի	negroni			24	noun,drinks	
խմել	to drink	Ես խմեցի	I drank	24	verb,drinks	
եթե	if			24	conjunction	
լսել	to listen			24	verb	
տանը	at home			24	adverb,home	
հասկանալ	to understand			24	verb,abstract	
ծանոթանալ	to get acquainted with			24	verb,people	
ամուսնանալ	to get married			24	verb,family	
իմանալ	to know			24	verb,abstract	
ձանձրանալ	to get bored			24	verb,feelings	
խոստանալ	to promise			24	verb	
բարկանալ	to be angry			24	verb,feelings	
հիվանդանալ	to get sick			24	verb,body	
առողջանալ	to get well, to recover			24	verb,body	
գողանալ	to steal			24	verb	
բարձրանալ	to rise, to climb, to get on			24	verb	pron. բարցրանալ
ուրախանալ	to be glad			24	verb,feelings	
ուշանալ	to be late			24	verb,time	
զարմանալ	to be surprised			24	verb,feelings	
հանգստանալ	to rest, to calm down			24	verb	
մոտենալ	to come closer, to approach			24	verb	
