hy	en	phrase_hy	phrase_en	lesson	tags	note
լավանալ	to get better, to recover	Լավ ա, որ լավանում ես։	It's good that you are getting better.	15	verb	
վատ	bad			15	adjective	
վատանալ	to get worse			15	verb	
երեկ չէ առաջին օրը	the day before yesterday (позавчера)			15	phrase,time	
վաղը չէ մյուս օրը	the day after tomorrow (послезавтра)			15	phrase,time	
մի ժամ ու կես / մի ժամ երեսուն րոպե	an hour and a half / one hour thirty minutes			15	phrase,time	
քեզ / ձեզ	you (object form: sg. informal / pl. or formal)			15	pronoun	
հետ	with	քեզ հետ	with you	15	postposition	
համար	for	քեզ համար	for you	15	postposition	
ուղարկել	to send	Ուղարկի	Send! (imperative)	15	verb	
սիրած	favourite	Ո՞րն է քո սիրած սրճարանը Երևանում։	Which is your favourite café in Yerevan?	15	adjective	
որ	that (conjunction)			15	conjunction	
ո՞ւր	where to (куда)	Ո՞ւր ես գնում։	Where are you going?	15	question	
որտեղի՞ց	where from (откуда)	Որտեղի՞ց ես գալիս։	Where are you coming from?	15	question	
տուն	home, house	Տուն / Տնից	to the house / from home	15	noun,home,city	
բանկ	bank	Բանկ / Բանկից	to the bank / from the bank	15	noun,city	
հյուրանոց	hotel	Հյուրանոց / Հյուրանոցից	to the hotel / from the hotel	15	noun,city,travel	
սրճարան	café	Սրճարան / Սրճարանից	to the café / from the café	15	noun,city	
մարզասրահ	gym	Մարզասրահ / Մարզասրահից	to the gym / from the gym	15	noun,city	
վարսավիրանոց	hair salon	Վարսավիրանոց / Վարսավիրանոցից	to the hair salon / from the hair salon	15	noun,city	
դեսպանատուն	embassy	Դեսպանատուն / Դեսպանատնից	to the embassy / from the embassy	15	noun,city	
դեղատուն	pharmacy	Դեղատուն / Դեղատնից	to the pharmacy / from the pharmacy	15	noun,city	
հիվանդանոց	hospital	Հիվանդանոց / Հիվանդանոցից	to the hospital / from the hospital	15	noun,city	
աշխատանք	work	Աշխատանքի / Աշխատանքից	to work / from work	15	noun,work	
դաս	class, lesson	Դասի / Դասից	to class / from class	15	noun,school	
հանդիպում	meeting	Հանդիպման / Հանդիպումից	to a meeting / from a meeting	15	noun,work	
ընդմիջում	break	Ընդմիջման / Ընդմիջումից	for a break / from a break	15	noun,work	
