hy	en	phrase_hy	phrase_en	lesson	tags	note
ոգևորված	excited, enthusiastic (воодушевленный)			16	adjective,feelings	
լուրջ	serious			16	adjective	
դեմք	such a character	Դու դեմք ես, նա (ինքը) դեմք ա	You are such a character, he is such a character	16	noun,colloquial	lit. face; spoken
իմ	my			16	pronoun	
քո	your (sg.)			16	pronoun	
նրա / իր	his, her			16	pronoun	for նա / ինքը; spoken իրա
մեր	our			16	pronoun	
ձեր	your (pl. or formal)			16	pronoun	
նրանց / իրենց	their			16	pronoun	for նրանք / իրենք; spoken իրանց
սա	this	Ի՞նչ է սա։ Սա գիրք է։	What is this? This is a book.	16	pronoun	
դա	that, it	Ի՞նչ է դա։ Դա լուսանկար է։	What is that? That is a photograph.	16	pronoun	
նա	that one over there			16	pronoun	
սրանք	these	Ինչե՞ր են սրանք։ Սրանք լուսանկարներ են։	What are these? These are photographs.	16	pronoun	
դրանք	those	Դրանք իմ գրքերն են։	Those are my books.	16	pronoun	
նրանք	those over there			16	pronoun	
այս	this (before a noun)	Այս գիրքը / Այս գրքերը	this book / these books	16	pronoun	
այդ	that (before a noun)			16	pronoun	
այն	that over there (before a noun)			16	pronoun	
լուսանկար	photograph			16	noun	pron. լուսանըկար
ինչո՞վ	by what, how (by what means)	Ինչո՞վ ես գնում։	How are you getting there?	16	question	
ինչո՞ւ	why	Ինչո՞ւ ես գնում։	Why are you going?	16	question	
ե՞րբ	when	Ե՞րբ ես գնում։	When are you going?	16	question	pron. ե՞րփ
ո՞ւմ հետ	with whom	Ո՞ւմ հետ ես գնում։	With whom are you going?	16	question	
ոտք	foot	ոտքով	on foot	16	noun,body,transport	
մետրո	metro	մետրոյով	by metro	16	noun,transport	
տաքսի	taxi	տաքսիով	by taxi	16	noun,transport	
ավտոբուս	bus	ավտոբուսով	by bus	16	noun,transport	
ինքնաթիռ	plane	ինքնաթիռով	by plane	16	noun,transport	
ավտոմեքենա / մեքենա	car	ավտոմեքենայով / մեքենայով	by car	16	noun,transport	
գնացք	train	գնացքով	by train	16	noun,transport	
հեծանիվ	bicycle	հեծանիվով	by bicycle	16	noun,transport	
ուտել	to eat	ուտելու	(in order) to eat	16	verb,food	
խաղալ	to play	խաղալու	(in order) to play	16	verb	
խմել	to drink	խմելու	(in order) to drink	16	verb,drinks	
պարել	to dance	պարելու	(in order) to dance	16	verb	
երգել	to sing	երգելու	(in order) to sing	16	verb	pron. երքել
հանդիպել	to meet	հանդիպելու	(in order) to meet	16	verb	
այսօր	today			16	adverb,time	
առավոտյան	in the morning			16	adverb,time	
կեսօրին	at noon			16	adverb,time	
երեկոյան	in the evening			16	adverb,time	
գիշերը	at night			16	adverb,time	
կեսգիշերին	at midnight			16	adverb,time	
հենց հիմա	right now			16	phrase,time	
մենակ	alone			16	adverb	
ընկերոջս հետ	with my friend			16	phrase,people	pron. ընկերոչըս
ընկերներիս հետ	with my friends			16	phrase,people	
գործընկերներիս / իմ գործընկերների հետ	with my colleagues			16	phrase,work	
երեխաներիս / իմ երեխաների հետ	with my children			16	phrase,family	
ծնողներիս / իմ ծնողների հետ	with my parents			16	phrase,family	
տատիկիս հետ	with my grandmother			16	phrase,family	
խելացի	smart, clever			16	adjective,from-exercise	
շուն	dog			16	noun,from-exercise	pl. շներ
