hy	en	phrase_hy	phrase_en	lesson	tags	note
ճամփորդել	to travel			35	verb,travel	
հոգնեցուցիչ	tiring (утомляющий)			35	adjective	pron. հոքնեցուցիչ
խնդրել	to ask for something			35	verb	
կեղտոտ	dirty			35	adjective	
Հեսա ասեմ	I'll tell you in a second (щас скажу)			35	phrase,colloquial	spoken
գործի համար	for work			35	phrase,work	
զանգել	to call (звонить)	Պետք ա զանգեմ իմ գործընկերներին	I have to call my colleagues	35	verb	
զանգվել	to call each other, to get in touch by phone (созваниваться)	Պետք ա զանգվեմ իմ գործընկերների հետ	I have to get on a call with my colleagues	35	verb	
կապի մեջ	in touch (на связи)	Կապի մեջ, կզանգվենք	We're in touch, we'll call each other (на связи, созвонимся)	35	phrase,colloquial	
քայլ	step			35	noun	
քայլել	to walk	Ուզում եմ ավելի շատ քայլել	I want to walk more	35	verb	
գաղափար չունեմ	no idea, I have no idea			35	phrase	գաղափար — idea
իդեպ	by the way			35	adverb,colloquial	
Անունը գրած չի	The name is not written (имя не написано)			35	phrase,colloquial	spoken
