hy	en	phrase_hy	phrase_en	lesson	tags	note
համբույր	kiss			9	noun,feelings	pron. համփույր
համբուրել	to kiss			9	verb,feelings	
Դու սիրո՞ւմ ես ինձ	Do you love me?			9	phrase,feelings	
կարողանալ	can, to be able to	Ես կարող եմ / Ես չեմ կարող	I can / I cannot	9	verb	
ծնունդ	birthday	Ե՞րբ է քո ծնունդը	When is your birthday?	9	noun,calendar	
վերադառնալ	to return			9	verb,travel	
հաջորդ	next	հաջորդ շաբաթ	next week	9	adjective,time	
Տարվա ամիսներ	Months of the year			9	phrase,calendar	
հունվար	January			9	noun,calendar	
փետրվար	February			9	noun,calendar	
մարտ	March			9	noun,calendar	
ապրիլ	April			9	noun,calendar	
մայիս	May			9	noun,calendar	
հունիս	June			9	noun,calendar	
հուլիս	July			9	noun,calendar	
օգոստոս	August			9	noun,calendar	
սեպտեմբեր	September			9	noun,calendar	
հոկտեմբեր	October			9	noun,calendar	
նոյեմբեր	November			9	noun,calendar	
դեկտեմբեր	December			9	noun,calendar	
Այսօր ամսի քանի՞սն է	What is the date today?			9	phrase,calendar	
Այսօր հունվարի ութն է	Today is the 8th of January			9	phrase,calendar	
Ամսի քանիսի՞ն	On what date?			9	phrase,calendar	
ե՞րբ	when?			9	question,time	pron. երփ
Հունվարի ութին	On the 8th of January			9	phrase,calendar	
օգնել	to help			9	verb,from-exercise	pron. օքնել
բացել	to open			9	verb,from-exercise	
փակել	to close			9	verb,from-exercise	
քեզ համար	for you			9	phrase,from-exercise	
դուռ	door			9	noun,home,from-exercise	
լուսամուտ / պատուհան	window			9	noun,home,from-exercise	
ինձ	me			9	pronoun,from-exercise	
