hy	en	phrase_hy	phrase_en	lesson	tags	note
կորցնել	to lose			30	verb	
գործ	work, job; business			30	noun,work	
գլխարկ	hat			30	noun,clothes	
դրոշ	flag	Ես սիրում եմ Հայաստանի դրոշի գույները	I love the colours of the Armenian flag	30	noun	
միայն	only			30	adverb	
ձանձրանալ	to get bored			30	verb,feelings	
խոստանալ	to promise			30	verb	
բարկանալ	to be angry			30	verb,feelings	
հիվանդանալ	to get sick			30	verb,body	
առողջանալ	to get well, to recover			30	verb,body	
գողանալ	to steal			30	verb	
բարձրանալ	to rise, to climb, to get on			30	verb	pron. բարցրանալ
ուրախանալ	to be glad			30	verb,feelings	
ուշանալ	to be late			30	verb,time	
զարմանալ	to be surprised			30	verb,feelings	
հանգստանալ	to rest, to calm down			30	verb	
մոտենալ	to come closer, to approach			30	verb	
Ի՞նչ գույն է սա։	What colour is this?			30	question,colours	
գույն	colour			30	noun,colours	
սև	black	սև գրիչ	black pen	30	adjective,colours	
սպիտակ	white	Սպիտակ տուն	white house	30	adjective,colours	less frequently ճերմակ
կարմիր	red	մեծ կարմիր պայուսակ	big red bag	30	adjective,colours	
դեղին	yellow	փոքր դեղին աթոռ	small yellow chair	30	adjective,colours	
կանաչ	green	կանաչ սեղան	green table	30	adjective,colours	
կապույտ	blue			30	adjective,colours	
շագանակագույն	brown			30	adjective,colours	from շագանակ — chestnut
դարչնագույն	brown, cinnamon-coloured			30	adjective,colours	from դարչին — cinnamon
վարդագույն	pink			30	adjective,colours	from վարդ — rose
ծիրանագույն	apricot-coloured			30	adjective,colours	from ծիրան — apricot
նարնջագույն	orange	նարնջագույն պատ	orange wall	30	adjective,colours	from նարինջ — orange; less frequently from գազար — carrot
մոխրագույն	grey	մոխրագույն մազեր	grey hair	30	adjective,colours	from մոխիր — ash
ոսկեգույն	gold, golden	ոսկեգույն տետր	golden notebook	30	adjective,colours	from ոսկի — gold
արծաթագույն	silver			30	adjective,colours	from արծաթ — silver
մանուշակագույն	violet			30	adjective,colours	from մանուշակ — violet
բաց	light (of a colour)	բաց կանաչ	light green	30	adjective,colours	
մուգ	dark (of a colour)	մուգ կապույտ	dark blue	30	adjective,colours	
անգույն	colourless			30	adjective,colours	
գունավոր	colourful			30	adjective,colours	
