hy	en	phrase_hy	phrase_en	lesson	tags	note
ավելի շուտ	earlier			20	adverb,time	
տանտեր	landlord			20	noun,home	
միայն	only			20	adverb	
վճարել	to pay	Վճարեցի	I paid	20	verb	Վճարեցի is a simple past form
Քանի՞ օրով	for how many days	Քանի՞ օրով ես գնում։	For how many days are you going?	20	question,travel,time	
Քանի՞ օրից	in how many days	Քանի՞ օրից ես գնում։	In how many days are you going?	20	question,travel,time	
Կորեա	Korea	Ես գնում եմ Կորեա երկու շաբաթով	I am going to Korea for two weeks	20	noun,countries	
կորեական	Korean			20	adjective,countries	
սկզբում	first, at first	Սկզբում գնում եմ Վրաստան	First I am going to Georgia	20	adverb	
Վրաստան	Georgia			20	noun,countries	
թռիչք	flight			20	noun,travel	
տևել	to last			20	verb	
Ոնց անցավ	How did it go?			20	phrase	
մնալ	to stay			20	verb,travel	
քաղաք	city			20	noun,city	
հետո	after, then			20	adverb,time	
ամպամած	cloudy			20	adjective,weather	
մի քանի	several, a few			20	other	
դրա համար	that's why (поэтому)			20	phrase	
հաստատ	for sure			20	adverb	
ոգևորված	excited	Շատ ոգևորված եմ	I am very excited	20	adjective,feelings	
շուտով	soon			20	adverb,time	
ուտել	to eat			20	verb,food	
խմել	to drink			20	verb,drinks	
համտեսել / համը տեսնել	to taste			20	verb,food	lit. to see the taste
ուտելիք	food			20	noun,food	
խմիչք	drink			20	noun,drinks	
ալկոհոլային խմիչքներ	alcoholic drinks			20	phrase,drinks	
ոչ ալկոհոլային խմիչքներ	non-alcoholic drinks			20	phrase,drinks	
հաց ուտել	to eat (something), to have a meal			20	phrase,food	lit. to eat bread
նախաճաշ	breakfast			20	noun,food	
նախաճաշել	to have breakfast			20	verb,food	
ճաշ	lunch			20	noun,food	lit. meal
ճաշել / լանչ անել	to have lunch			20	verb,food	
ընթրիք	dinner			20	noun,food	
ընթրել	to have dinner			20	verb,food	
Ե՞րբ ենք նախաճաշելու/ճաշելու/ընթրելու։	When are we going to have breakfast/lunch/dinner?			20	phrase,food	
Ի՞նչ ենք ուտելու նախաճաշին/ճաշին/ընթրիքին։	What are we going to have for breakfast/lunch/dinner?			20	phrase,food	
աղցան	salad			20	noun,food	from աղ — salt: "to sprinkle salt"
ապուր	soup			20	noun,food	
պատրաստել	to cook, to prepare	Սուրճ պատրաստել	to make coffee	20	verb,food	formal
սարքել	to cook, to make	Ճաշ սարքել, սուրճ սարքել	to make a meal, to make coffee	20	verb,food	informal
փոխանցել	to pass	Փոխանցի՛ր աղը	Pass the salt	20	verb,food	
աղ	salt			20	noun,food	
սեղան դնել	to set the table			20	phrase,food	lit. to put the table
սեղան հավաքել	to clear the table (собрать)			20	phrase,food	lit. to gather the table
ամանները լվանալ	to wash the dishes			20	phrase,home	
հաց	bread			20	noun,food	
պանիր	cheese			20	noun,food	
կանաչի	greens			20	noun,food	
կարագ	butter			20	noun,food	
կաթ	milk	կաթով / առանց կաթի	with milk / without milk	20	noun,drinks	
առանց	without			20	other	
մածուն	yogurt (matsun)			20	noun,food	
Սուրճը դա՞ռը, թե՞ քաղցր։	Coffee with or without sugar?			20	phrase,drinks	lit. is the coffee bitter or sweet?
դառը	bitter			20	adjective,food	
քաղցր	sweet			20	adjective,food	
ձու	egg			20	noun,food	
ձվածեղ	omelette			20	noun,food	
խաշած ձու	boiled egg			20	phrase,food	
բանջարեղեն	vegetables			20	noun,food	
միրգ	fruit			20	noun,food	
