hy	en	phrase_hy	phrase_en	lesson	tags	note
շատ շուտ	very soon; very early			25	phrase,time	
խելացի	clever, smart			25	adjective,people	
վերադառնալ	to return, to come back			25	verb	
սիրած	favourite (любимый)			25	adjective	
արվեստ	art			25	noun,abstract	
արվեստագետ	artist			25	noun,work,people	
կարևոր	important			25	adjective,abstract	
ուռել	to swell; to get high (опухать)			25	verb,colloquial	spoken
ուռած	swollen; high			25	adjective,colloquial	spoken
ծխած	stoned			25	adjective,colloquial	spoken; lit. smoked
ճշմարտություն	truth	Ասա՛ ինձ ճշմարտությունը, սիրելիս	Tell me the truth, my dear	25	noun,abstract	
սիրելիս	my dear			25	noun,people	
շոգ	hot (weather)	Շատ շոգ է	It is very hot	25	adjective,weather	
ժամանակ	time	Տուն գնալու ժամանակն է	It is time to go home	25	noun,time	
բարեկիրթ	polite	Բարեկի՛րթ եղիր	Be polite	25	adjective,people	
զգույշ	careful	Զգո՛ւյշ եղիր	Be careful	25	adjective	
ուշադիր	attentive	Ուշադի՛ր եղիր	Be attentive	25	adjective	
լավ եղիր	be well			25	phrase,greetings	
առողջ	healthy	Առո՛ղջ եղիր	Be healthy	25	adjective,body	
քեզ լավ նայիր / ձեզ լավ նայեք	take care of yourself / of yourselves			25	phrase,greetings	
դնել	to put			25	verb	
գալ	to come			25	verb	
լալ / լացել	to cry			25	verb,feelings	
տալ	to give			25	verb	
ուտել	to eat			25	verb,food	
տանել	to take away			25	verb	
ասել	to say			25	verb	
անել	to do			25	verb	
թողնել	to let, to leave			25	verb	
տեսնել	to see			25	verb	
առնել	to buy, to take			25	verb	
բերել	to bring			25	verb	
լվանալ	to wash			25	verb	
բացել	to open			25	verb	
դառնալ	to become, to turn			25	verb	imperative դարձի՛ր, pron. դարցիր
լինել	to be			25	verb	
վեր կենալ	to get up			25	verb	
