hy	en	phrase_hy	phrase_en	lesson	tags	note
և այլն	etc., and so on			41	phrase	
հարմար	convenient, comfortable			41	adjective	
լսել	to listen, to hear			41	verb	
հարգել	to respect			41	verb	
համար	for	Ուզում եմ նոր գիրք առնել Աննայի համար։	I want to buy a new book for Anna	41	postposition	
մասին	about	Ի՞նչ գիտես Արուսի ընտանիքի մասին։	What do you know about Arus's family?	41	postposition	
հետ	with	Ոչ մի տեղ չեմ ուզում գնալ այդ տղայի հետ։	I don't want to go anywhere with that boy	41	postposition	
վրա	on	Պայուսակը սեղանի վրա է։	The bag is on the table	41	postposition	
տակ	under	Մահճակալի տակ ոչինչ չկա։	There is nothing under the bed	41	postposition	
մոտ	near, at	Տան մոտ շատ մարդիկ կան։	There are many people near the house	41	postposition	
մեջ	in, among	Մատիտը գրքի մեջ է։	The pencil is in the book	41	postposition	
շուրջը	around	Մենք հավաքվել ենք տոնածառի շուրջը։	We have gathered around the Christmas tree	41	postposition	
միջև	between	Մեր միջև էլ սեր չկա։	There is no more love between us	41	postposition	
վերև / վերևում	above, up, upstairs	Վերևում ոչ ոք չի ապրում։	Nobody lives upstairs	41	postposition	
ներքև / ներքևում	below, down, downstairs	Ներքևում աղմուկ է։	There is noise downstairs	41	postposition	
կողքին	next to, beside	Այշեն միշտ նստում է իմ կողքին։	Ayshe always sits next to me	41	postposition	
դիմաց	across, across from, in front of	Դպրոցի դիմաց մեծ այգի կա։	Across from the school there is a big orchard	41	postposition	
միջով	through	Նա քայլեց այգու միջով, որ տուն հասնի։	She walked through the park to get home	41	postposition	
դիվանագիտական հարաբերություն	diplomatic relationship			41	noun,abstract,from-exercise	
