hy	en	phrase_hy	phrase_en	lesson	tags	note
կա	there is			5	other	
կան	there are	Կան շատ հյուրեր իմ հյուրասենյակում։	There are many guests in my living room.	5	other	
անել	to do	Ի՞նչ ես անում։	What are you doing? What do you do?	5	verb	
գնալ	to go			5	verb	
ուզել	to want			5	verb	
խոսել	to speak	Ես խոսում եմ հայերեն։	I speak Armenian.	5	verb	
հասկանալ	to understand			5	verb	
միշտ	always	Մենք միշտ խոսում ենք հայերեն։	We always speak Armenian.	5	adverb,time	
սովորաբար	usually	Նրանք սովորաբար չեն խոսում հայերեն։	They usually don't speak Armenian.	5	adverb,time	
հաճախ	often			5	adverb,time	
երբեք	never	Նա երբեք չի խոսում հայերեն։	He/she never speaks Armenian.	5	adverb,time	pron. երփեք
երբեմն / մեկ-մեկ	sometimes			5	adverb,time	pron. երփեմըն
նա	she, he			5	pronoun,letters	
Աննա	Anna (female name)			5	noun,people,letters	
անուն	name			5	noun,people,letters	
սանր	comb	Սա իմ սանրն է, իսկ սա Արուսի սանրն է։	This is my comb, and this is Arus's comb.	5	noun,home,letters	
նույն	same			5	adjective,letters	
նման	similar, like			5	adjective,letters	
նուշ	almond			5	noun,food,letters	
նշան	sign			5	noun,letters	
նվեր	gift			5	noun,letters	
նկար	picture	Սա իմ նկարն է, իսկ սա Արամի նկարն է։	This is my picture, and this is Aram's picture.	5	noun,letters	
նկարագրություն	description			5	noun,abstract,letters	
նաև	also			5	adverb,letters	
իմ	my			5	pronoun,letters	
ամիս	month			5	noun,calendar,time,letters	
միս	meat			5	noun,food,letters	
մարմին	body			5	noun,body,letters	
Արամ	Aram (male name)			5	noun,people,letters	
Արման	Arman (male name)			5	noun,people,letters	
Իրան	Iran	Իրանում կարմիր սունկ կա։	In Iran there is a red mushroom.	5	noun,countries,letters	Իրանում — in Iran
կարմիր	red			5	adjective,colours,letters	
մասին	about	Իմ մասին · Արամի մասին · Իրանի մասին	about me · about Aram · about Iran	5	postposition,letters	
մարդամոտ	sociable			5	adjective,people,letters	
մարդասպան	murderer			5	noun,people,letters	
մանկություն	childhood			5	noun,abstract,letters	
մաղթանք	wish, blessing			5	noun,abstract,letters	
մկրատ	scissors			5	noun,home,letters	
մուկ	mouse			5	noun,nature,letters	
