hy	en	phrase_hy	phrase_en	lesson	tags	note
ճաշ	meal, lunch			1	noun,food,letters	
ճաշել	to have lunch			1	verb,food,letters	
ճաշասենյակ	dining room			1	noun,home,letters	
ճանապարհ	road, way			1	noun,city,travel,letters	
ճանապարհորդել	to travel			1	verb,travel,letters	
հաճելի	pleasant			1	adjective,letters	
հաճախ	often			1	adverb,time,letters	
ճամպրուկ	suitcase			1	noun,travel,letters	
օճառ	soap			1	noun,home,letters	
սուրճ	coffee			1	noun,drinks,letters	
սրճարան	café			1	noun,city,letters	pron. սըրճարան
ճիշտ	right, correct			1	adjective,letters	
կարճ	short			1	adjective,letters	
ճակատ	forehead			1	noun,face,letters	
ճակատագիր	destiny, fate			1	noun,abstract,letters	
զրո	zero			1	numeral,numbers,letters	
զուգարան	toilet			1	noun,home,letters	pron. զուքարան
զգեստ	dress	Զգեստդ գեղեցիկ է, որտեղի՞ց ես գնել։	Your dress is beautiful, where did you buy it?	1	noun,clothes,letters	
զարթուցիչ	alarm clock			1	noun,home,letters	
հազար	thousand			1	numeral,numbers,letters	
գազար	carrot			1	noun,food,letters	
բազմոց	sofa			1	noun,furniture,letters	
բազկաթոռ	armchair			1	noun,furniture,letters	
զարմանալ	to be surprised			1	verb,feelings,letters	
զգալ	to feel			1	verb,feelings,letters	
երազ	dream			1	noun,abstract,letters	
երազել	to dream			1	verb,letters	
զանգ	bell			1	noun,letters	
զանգել	to phone, to call	Երեկոյան կզանգեմ, կզրուցենք։	I will call in the evening, we will talk.	1	verb,letters	
զրուցել	to talk, to converse			1	verb,letters	
ձու	egg			1	noun,food,letters	
ձեթ	oil			1	noun,food,letters	
ձուկ	fish			1	noun,food,nature,letters	
ձայն	voice			1	noun,letters	
ձյուն	snow			1	noun,weather,letters	
ձմեռ	winter			1	noun,seasons,letters	
ձեռք	hand			1	noun,body,letters	
ձեռնոց	glove	Գիտե՞ս որտեղ է իմ ձեռնոցը։	Do you know where my glove is?	1	noun,clothes,letters	
ձեռագիր	handwriting			1	noun,letters	
ձմերուկ	watermelon			1	noun,food,letters	
բարձր	high			1	adjective,letters	pron. բարցր
բարձ	pillow			1	noun,home,letters	pron. բարց
դեղձ	peach			1	noun,food,letters	
տանձ	pear			1	noun,food,letters	
խնձոր	apple			1	noun,food,letters	
սոված	hungry			1	adjective,feelings	
կուշտ	full (not hungry)			1	adjective,feelings	
հոգնած	tired			1	adjective,feelings	pron. հոքնած
ուրախ	glad	Ես ուրախ եմ։	I am glad.	1	adjective,feelings	
այո / հա	yes (formal / informal)			1	other,colloquial	
ոչ / չէ	no (formal / informal)			1	other,colloquial	
բայց	but			1	conjunction	
Բարև ձեզ	Hello!			1	phrase,greetings	
Ողջույն	Hi!			1	other,greetings	
Բարի լույս	Good morning!			1	phrase,greetings	
Բարի օր	Good afternoon!			1	phrase,greetings	
Բարի երեկո	Good evening!			1	phrase,greetings	
Բարի գիշեր	Good night!			1	phrase,greetings	
Բարի ճանապարհ	Have a good journey!			1	phrase,greetings,travel	
Բարի ախորժակ	Enjoy your meal! Bon appétit!			1	phrase,greetings,food	
Անուշ / Անուշ լինի	Enjoy! (said about food)			1	phrase,greetings,food	
Բարի գալուստ	Welcome!			1	phrase,greetings	
Ցտեսություն	Goodbye!			1	other,greetings	pron. ցըտեսություն
Հաջողություն / Հաջող	So long! Good luck!			1	other,greetings	formal alternative to goodbye; Հաջող is the short form
Կհանդիպենք	See you soon!			1	other,greetings	lit. we will meet: հանդիպել — to meet, կ- — will
Մինչ վաղը	See you tomorrow!			1	phrase,greetings	lit. until tomorrow
Արի ծանոթանանք	Let's get acquainted			1	phrase,greetings	
Ի՞նչ է քո անունը / Անունդ ի՞նչ է	What's your name?			1	phrase,greetings	
Իմ անունը … է / Անունս … է	My name is …			1	phrase,greetings	
Իսկ ի՞նչ է քո անունը	And what is your name?			1	phrase,greetings	
Որտեղի՞ց ես / եք	Where are you from?			1	phrase,greetings	
Ես … -ից եմ	I'm from …	Ես Վրաստանից եմ։	I am from Georgia.	1	phrase,greetings	-ից — from
Քանի՞ տարեկան ես	How old are you?			1	phrase,greetings	
Ես քսանհինգ տարեկան եմ	I am twenty-five years old.			1	phrase,greetings	
անուն	name			1	noun,people	
ազգանուն	surname			1	noun,people	
իսկ	and, but			1	conjunction	
տարեկան	years old			1	other,numbers	
քսանհինգ	twenty-five			1	numeral,numbers	
Վրաստան	Georgia			1	noun,countries	
Ռուսաստան	Russia	Ես Ռուսաստանից եմ։	I am from Russia.	1	noun,countries	
ԱՄՆ	USA (Ամերիկայի Միացյալ Նահանգներ)	ԱՄՆ-ից եմ։	I am from the USA.	1	noun,countries	
