hy	en	phrase_hy	phrase_en	lesson	tags	note
փորձել	to try			37	verb	
համարյա	almost			37	adverb	
տերև	leaf			37	noun,nature	
սիկտիր լինել	to fuck off	Սիկտիր եղի	Fuck off	37	verb,vulgar,colloquial	
մեկնել	to depart			37	verb,travel	
առաջին	first			37	adjective	
վերջին	last			37	adjective	
էջ	page			37	noun,school	
սկսվել	to start, to begin	Օրը սկսվում է	The day starts	37	verb	
Ի՞նչ ես անելու մեր դասից հետո։	What are you going to do after our lesson?			37	phrase,school	
դժբախտաբար	unfortunately			37	adverb	
բարեբախտաբար	fortunately			37	adverb	
Վստահ չեմ	I'm not sure			37	phrase	
տանտեր	landlord			37	noun,people,home	
ընթրել	to have dinner			37	verb,food	
ծրագիր	plan			37	noun,from-exercise	
