hy	en	phrase_hy	phrase_en	lesson	tags	note
Ի՞նչ օր է այսօր	What day is it today?			7	phrase,calendar	
երկուշաբթի	Monday	Երեկ երկուշաբթի էր	Yesterday it was Monday	7	noun,calendar	
երեքշաբթի	Tuesday	Այսօր երեքշաբթի է, կիրակի չէ	Today is Tuesday, it is not Sunday	7	noun,calendar	
չորեքշաբթի	Wednesday	Վաղը չորեքշաբթի է	Tomorrow is Wednesday	7	noun,calendar	
հինգշաբթի	Thursday	Կհանդիպենք հինգշաբթի / հինգշաբթի օրը	See you on Thursday	7	noun,calendar	
ուրբաթ	Friday			7	noun,calendar	
շաբաթ	Saturday			7	noun,calendar	
կիրակի	Sunday			7	noun,calendar	
երեկ	yesterday	Ի՞նչ օր էր երեկ	What day was it yesterday?	7	adverb,time	
վաղը	tomorrow	Ի՞նչ օր է վաղը	What day is it tomorrow?	7	adverb,time	
Ինչպե՞ս ես / Ո՞նց ես	How are you? (singular)			7	phrase,greetings	
Ինչպե՞ս եք / Ո՞նց եք	How are you? (plural)			7	phrase,greetings	
սովորական	normal, as usual			7	adjective,feelings	
լավ	well, good	Լավ եմ / Լավ չեմ	I am well / I am not well	7	adjective,feelings	
վատ	bad	Վատ եմ	I am bad / I feel bad	7	adjective,feelings	
ուրախ	glad, happy	Ուրախ եմ	I am glad	7	adjective,feelings	
տխուր	sad	Տխուր եմ	I am sad	7	adjective,feelings	
զբաղված	busy	Զբաղված եմ	I am busy	7	adjective,feelings	
ազատ	free	Ազատ եմ	I am free	7	adjective,feelings	
հոգնած	tired	Հոգնած եմ	I am tired	7	adjective,feelings	pron. հոքնած
սոված	hungry	Սոված եմ	I am hungry	7	adjective,feelings	
կուշտ	full (not hungry)	Կուշտ եմ	I am full	7	adjective,feelings	
ծարավ	thirsty	Ծարավ եմ	I am thirsty	7	adjective,feelings	
հիվանդ	sick	Հիվանդ եմ	I am sick	7	adjective,feelings	
առողջ	healthy	Առողջ եմ	I am healthy	7	adjective,feelings	
բարկացած	angry	Բարկացած եմ	I am angry	7	adjective,feelings	
անհանգիստ	worried	Անհանգիստ եմ	I am worried	7	adjective,feelings	
հանգիստ	relaxed, calm			7	adjective,feelings	
հպարտ	proud	Հպարտ եմ	I am proud	7	adjective,feelings	pron. հըպարտ
զարմացած	surprised	Զարմացած եմ	I am surprised	7	adjective,feelings	
մտահոգված	concerned	Մտահոգված եմ	I am concerned	7	adjective,feelings	pron. մտահոքված
հիասթափված	disappointed	Հիասթափված եմ	I am disappointed	7	adjective,feelings	
Ի՞նչ նորություն կա	What's new?			7	phrase,greetings	
Ամեն ինչ կարգին է	Everything is OK			7	phrase,greetings	
Ի՞նչ կա չկա	What's up?			7	phrase,greetings,colloquial	
Ինչպե՞ս են գործերդ	How are things going?			7	phrase,greetings	
հրաշալի	wonderful			7	adjective,feelings	
ո՞ր	which	Ո՞ր տունն է քոնը	Which house is yours?	7	question	
ո՞ւմ	whose	Ո՞ւմ գիրքն է սա	Whose book is this?	7	question	
ապրել	to live			7	verb,from-exercise	
երաժշտություն	music			7	noun,from-exercise	
ուտելիք	food			7	noun,food,from-exercise	
զգալ	to feel			7	verb,from-exercise	
միասին	together			7	adverb,from-exercise	
առավոտյան	in the morning			7	adverb,time,from-exercise	
