hy	en	phrase_hy	phrase_en	lesson	tags	note
հետաքրքիր	interesting			33	adjective	
Իսպանիա	Spain	Իսպանիայում	in Spain	33	noun,countries	
Կորեա	Korea	Կորեայում	in Korea	33	noun,countries	
Ճապոնիա	Japan	Ճապոնիայում	in Japan	33	noun,countries	
Քանի՞ օրով	For how many days?			33	question,time	
Քանի՞ օրից	In how many days?			33	question,time	
Հավես էր	It was fun			33	phrase,colloquial	
Մի րոպե մտածեմ	Let me think for a sec			33	phrase	
հիշեցնել	to remind			33	verb	spoken հիշացնել
Ամեն ինչ լավ է լինելու	Everything is going to be fine			33	phrase	
կարծել	to opine, to have an opinion	Կարծում եմ	I think (= մտածում եմ)	33	verb	
մտածել	to think (about)			33	verb	
մեջք	back (body part)			33	noun,body	pron. մեչք
ցավել	to hurt	Իմ գլուխը ցավում է	My head hurts	33	verb,body	
գործընկեր	colleague			33	noun,work,from-exercise	
առաջարկել	to offer			33	verb,from-exercise	pron. առաչարկել
հաճախորդ	customer			33	noun,work,from-exercise	
համերգ	concert			33	noun,from-exercise	
վերանորոգել	to renovate			33	verb,home,from-exercise	
նվեր	gift			33	noun,from-exercise	
համաձայն	agreed, in agreement (to agree)			33	adjective,from-exercise	
