hy	en	phrase_hy	phrase_en	lesson	tags	note
Իսպանիա	Spain	Իսպանիայի դեսպանատուն	the Spanish embassy (lit. Spain's embassy)	18	noun,countries	
Որտեղի՞ դեսպանատուն	the embassy of where? (which country's embassy?)			18	question,city	
վաճառել	to sell			18	verb	
վճարել	to pay			18	verb	
գնել / առնել	to buy	գնելու	(in order) to buy	18	verb	
գնալ	to go	գնալու	(in order) to go	18	verb	cf. գնել — to buy
ընկերուհի	female friend			18	noun,people	
ամեն օր	every day			18	phrase,time	
թարգմանել	to translate			18	verb,languages	pron. թարքմանել
երեկ	yesterday			18	adverb,time	
երեկ չէ առաջին օրը	the day before yesterday			18	phrase,time	
անցյալ տարի	last year			18	phrase,time	
անցյալ շաբաթ	last week			18	phrase,time	also անցած շաբաթ
անցյալ ամիս	last month			18	phrase,time	also անցած ամիս
եղանակ	weather	Ի՞նչ եղանակ է այսօր։	What is the weather like today?	18	noun,weather	
շոգ	hot			18	adjective,weather	
տաք	warm			18	adjective,weather	
ցուրտ	cold			18	adjective,weather	
արև	sun			18	noun,weather,nature	
արևային / արևոտ	sunny			18	adjective,weather	
անձրև	rain	Անձրև չի գալիս։	It is not raining.	18	noun,weather	
անձրևային / անձրևոտ	rainy			18	adjective,weather	
քամի	wind			18	noun,weather	
քամոտ	windy			18	adjective,weather	
ձյուն	snow	Ձյուն գալիս է։	It is snowing.	18	noun,weather	spoken: Ձյուն գալիս ա
ձյունոտ	snowy			18	adjective,weather	
մառախուղ	fog			18	noun,weather	
մառախլապատ	foggy			18	adjective,weather	
ջերմաստիճան	temperature	Ինչքա՞ն է օդի ջերմաստիճանը այսօր։	What is the air temperature today?	18	noun,weather	
օդ	air	Օդի ջերմաստիճանը պլյուս/մինուս հինգ է։	The air temperature is plus/minus five.	18	noun,weather,nature	pron. օթ
