hy	en	phrase_hy	phrase_en	lesson	tags	note
ճշմարտություն	truth	Ասա ինձ ճշմարտությունը	Tell me the truth	28	noun,abstract	
խաբել	to lie, to deceive	Մի խաբիր	Don't lie	28	verb,people	
էժան	cheap			28	adjective	
երգ	song			28	noun	
երգել	to sing			28	verb	
սպանել	to kill			28	verb	
մնալ	to stay, to remain			28	verb	
շուտով	soon			28	adverb,time	
հաջորդ	next			28	adjective,time	
հաջորդ անգամ	next time			28	phrase,time	
վաղը	tomorrow			28	adverb,time	
վաղը չէ մյուս օրը	the day after tomorrow			28	phrase,time	
հաջորդ օրը	the next day			28	phrase,time	
հաջորդ շաբաթ	next week			28	phrase,time	
հաջորդ ամիս	next month			28	phrase,time	
հաջորդ տարի	next year			28	phrase,time	
ընկերոջ	friend's (gen. of ընկեր)			28	noun,people,from-exercise	
այսօր երեկոյան	tonight			28	phrase,time,from-exercise	
քնել	to sleep			28	verb,from-exercise	
տետր	notebook			28	noun,school,from-exercise	
