hy	en	phrase_hy	phrase_en	lesson	tags	note
Բարի վերադարձ	welcome back			38	phrase,greetings	
նվագել	to play music			38	verb	
էլ	also, as well, too	Նա Իլյայի ընկերն էլ է	He is Ilia's friend as well	38	other	
Մի խոսքով	in a word, in short (короче)			38	phrase,colloquial	
ամեն ինչ	everything	Դու ուզում ես իմանալ ամեն ինչ	You want to know everything	38	pronoun	
ահավոր	terribly, awfully (ужасно)	Ահավոր շոգ	Terribly hot	38	adverb,weather	
Ի՞նչ եղանակ է այսօր։	What's the weather like today?			38	phrase,weather	spoken: Ի՞նչ եղանակ ա այսօր
Կարող ես ասել «Այսօր ամսի քանի՞սն է, շաբաթվա ո՞ր օրն է ու ժամը քանի՞սն է»։	Can you say: what is the date today, what day of the week is it and what time is it?			38	phrase,time,calendar	
բարձ	pillow			38	noun,home	pron. բարց
բարձր	high			38	adjective	pron. բարցր
ձանձրալի	boring			38	adjective	
ձանձրանալ	to get bored			38	verb,feelings	
արտահայտել	to express			38	verb	
արտահայտություն	expression			38	noun,abstract	
նախագիծ	plan, project			38	noun,work	gen. նախագծի
գեղեցիկ	beautiful			38	adjective	
միակ	the only	Իմ միակ պլանը քնելն է	The only plan I have is to sleep	38	adjective	
կենտրոնանալ	to focus			38	verb	
մասին	about			38	postposition	
Իմ ընկերներից երկուսը	two of my friends			38	phrase	
Ֆրանսիա	France			38	noun,countries	
ֆրանսիացի	French (person)			38	noun,countries	
տեր	owner			38	noun,people	gen. տիրոջ
տանտեր	landlord			38	noun,people,home	gen. տանտիրոջ
տիկին	lady, Mrs			38	noun,people	gen. տիկնոջ
հորաքույր	paternal aunt			38	noun,family	gen. հորաքրոջ
մորաքույր	maternal aunt			38	noun,family	gen. մորաքրոջ
հորեղբայր	paternal uncle			38	noun,family	gen. հորեղբոր
մորեղբայր	maternal uncle			38	noun,family	gen. մորեղբոր
կնքահայր	godfather			38	noun,family	gen. կնքահոր
կնքամայր	godmother			38	noun,family	gen. կնքամոր
ամուսին	husband			38	noun,family	gen. ամուսնու
որդի	son			38	noun,family	pron. որթի; gen. որդու
քեռի	maternal uncle			38	noun,family	gen. քեռու
ընկերուհի	female friend, girlfriend	Իմ ընկերուհու անունը Մերի է։	My girlfriend's name is Mary	38	noun,people	gen. ընկերուհու
հայաստանցի	person from Armenia			38	noun,countries	gen. հայաստանցու
ձի	horse			38	noun,nature	gen. ձիու
ոսկի	gold			38	noun	gen. ոսկու
ձայն	voice			38	noun,from-exercise	
գլխարկ	hat			38	noun,clothes,from-exercise	
պայուսակ	bag			38	noun,from-exercise	
լուսանկար	photo			38	noun,from-exercise	
կոշիկ	shoe			38	noun,clothes,from-exercise	
ակնոց	glasses			38	noun,from-exercise	
մեքենա	car			38	noun,transport,from-exercise	
հեռախոս	phone			38	noun,from-exercise	
զգեստ	dress			38	noun,clothes,from-exercise	
նամակ	letter			38	noun,from-exercise	
նվեր	gift			38	noun,from-exercise	
անձնագիր	passport			38	noun,travel,from-exercise	
օծանելիք	perfume			38	noun,from-exercise	
մատանի	ring			38	noun,from-exercise	
պոչ	tail			38	noun,nature,from-exercise	
գին	price			38	noun,from-exercise	
