hy	en	phrase_hy	phrase_en	lesson	tags	note
ժամը տասին	at ten (o'clock)			14	phrase,time	
մարզվել	to exercise, to work out			14	verb	
շուշուտ	fast, quickly			14	adverb,colloquial	very spoken
թե	or			14	conjunction	
վերջին	last	վերջինը	the last one	14	adjective	
երջանիկ	happy	Ես ավելի երջանիկ եմ Հայաստանում, որովհետև այստեղ կան սարեր։	I am happier in Armenia, because there are mountains here.	14	adjective,feelings	
հաստատ	for sure, definitely			14	adverb	
սար / լեռ	mountain			14	noun,nature	pl. լեռներ
հանդիպել	to meet	Կարող եմ հանդիպել իմ ընկերներին շատ հաճախ։	I can meet my friends very often.	14	verb	
շփվել	to hang out, to socialise			14	verb	
բոզ	whore			14	noun,vulgar	vulgar
հաջորդ	next	հաջորդը	the next one	14	adjective	
հայհոյանք	swear word, cursing (мат)			14	noun	
որ	that (conjunction)			14	conjunction	
կին	woman			14	noun,people	pl. կանայք
ծառ	tree			14	noun,nature	pl. ծառեր
ծաղիկ	flower			14	noun,nature	pl. ծաղիկներ
նկար	picture			14	noun	pl. նկարներ
հրաշք	miracle, wonder			14	noun	pl. հրաշքներ
սիրտ	heart			14	noun,body	pl. սրտեր
միրգ	fruit			14	noun,food	pl. մրգեր
տուն	house			14	noun,home	pl. տներ
շուն	dog			14	noun	pl. շներ
երկիր	country			14	noun,countries	pl. երկրներ
դասագիրք	textbook			14	noun,school	pl. դասագրքեր
մարդ	man, person			14	noun,people	pl. մարդիկ
տղամարդ	man			14	noun,people	pl. տղամարդիկ
տիկին	madam, lady, Mrs			14	noun,people	pl. տիկնայք
պարոն	sir, Mr			14	noun,people	pl. պարոնայք
դուռ	door			14	noun,home	pl. դռներ
ձուկ	fish			14	noun	pl. ձկներ
մուկ	mouse			14	noun	pl. մկներ
գառ	lamb			14	noun	pl. գառներ
մատ	finger			14	noun,body	pl. մատներ
հարս	bride			14	noun,family	pl. հարսներ
ծունկ	knee			14	noun,body	pl. ծնկներ
թոռ	grandchild			14	noun,family	pl. թոռներ
նուռ	pomegranate			14	noun,food	pl. նռներ
ռուս	Russian (person)			14	noun,people,countries	pl. ռուսներ
