hy	en	phrase_hy	phrase_en	lesson	tags	note
վարսավիր	hairdresser			36	noun,work	
կտրել	to cut, to trim			36	verb	
ինքնավստահություն	self-confidence			36	noun,abstract	pron. ինք-նա-վըս-տա-հություն
տրամադրություն	mood	Կարևոր ա, որ քո տրամադրությունը բարձր ա	It's important that you are in a good mood	36	noun,feelings	spoken
հեշտ	easy			36	adjective	
դժվար	hard, difficult			36	adjective	
երբեմն	sometimes	Երբեմն շատ սեքս անելը կարող է հոգնեցուցիչ լինել։	Sometimes having a lot of sex can be tiring	36	adverb	
հոգնեցուցիչ	tiring			36	adjective	pron. հոքնեցուցիչ
երաժիշտ	musician (музыкант)			36	noun,work	
երաժշտություն	music (музыка)			36	noun	
ուկրաինացի	Ukrainian (person) (украинец / украинка)			36	noun,countries	
ընթացքում	during, within	Շաբաթվա ընթացքում	During the week	36	postposition,time	
բույր	scent			36	noun,from-exercise	
երկինք	sky			36	noun,nature,from-exercise	
տերև	leaf			36	noun,nature,from-exercise	
աղմուկ	noise			36	noun,from-exercise	
բռնակ	handle			36	noun,home,from-exercise	
պահ	moment			36	noun,time,from-exercise	
պայծառ	bright			36	adjective,from-exercise	
աշխատավարձ	salary			36	noun,work,from-exercise	
