hy	en	phrase_hy	phrase_en	lesson	tags	note
դժվար	difficult, hard	Դժվար էր արթնանալ	It was hard to wake up	12	adjective	pron. դըժվար
նույնը	the same			12	pronoun	
անցած շաբաթ	last week			12	phrase,time	
այս ամիս	this month			12	phrase,time	
դահուկ	ski	Դահուկ քշել	to ski	12	noun	
քշել	to ride, to drive			12	verb,transport	
թիթիզ	fancy, dressed up, looking good			12	adjective,clothes	
Նորից ասա	Say it again			12	phrase	
երեխա	kid, child			12	noun,people,family	
համբույր	kiss			12	noun,feelings	pron. համփույր
ամենաշատը	most of all, the most	Երբ դու տանն ես, որտե՞ղ ես լինում ամենաշատը	When you are at home, where are you most of the time?	12	adverb	
սեղան	table			12	noun,home,furniture	
գրասեղան	desk	Ի՞նչ կա քո գրասեղանի վրա հենց հիմա	What is on your desk right now?	12	noun,home,furniture	
հենց հիմա	right now			12	phrase,time	
համակարգիչ	computer, laptop			12	noun,work	pron. համակարքիչ
հեռախոս	phone			12	noun	
տուփ	pack, box	Ես մի օրում ծխում եմ մի տուփ սիգարետ	I smoke a pack of cigarettes a day	12	noun	
սիգարետ	cigarette	Օրը քսան սիգարետ եմ ծխում	I smoke twenty cigarettes a day	12	noun	
թունդ	strong, heavy (of cigarettes, drinks)	Թունդ սիգարետ	heavy cigarettes	12	adjective	
քաղցր	sweet			12	adjective,food	
