hy	en	phrase_hy	phrase_en	lesson	tags	note
առաջին	1st — first	Ես առաջին անգամ եմ Երևանում	I'm in Yerevan for the first time	10	numeral,numbers	
երկրորդ	2nd — second	Երկրորդ անգամ	for the second time	10	numeral,numbers	
երրորդ	3rd — third			10	numeral,numbers	
չորրորդ	4th — fourth	Իմ ընկերը ապրում է չորրորդ հարկում	My friend lives on the 4th floor	10	numeral,numbers	
հինգերորդ	5th — fifth			10	numeral,numbers	
վեցերորդ	6th — sixth			10	numeral,numbers	
յոթերորդ	7th — seventh			10	numeral,numbers	
ութերորդ	8th — eighth			10	numeral,numbers	
իններորդ	9th — ninth			10	numeral,numbers	
տասներորդ	10th — tenth			10	numeral,numbers	
տասնմեկերորդ	11th — eleventh			10	numeral,numbers	
անգամ	time, occasion	Երկու անգամ	two times	10	noun,time	pron. անքամ
հարկ	floor, storey	Ո՞ր հարկում է ապրում քո ընկերը	What floor does your friend live on?	10	noun,home	
կրկնել	to repeat	Նրանք չեն ուզում կրկնել չորրորդ անգամ	They don't want to repeat it for the fourth time	10	verb	pron. կըրկընել
Տասներկուսն է	It is the 12th (of the month)			10	phrase,calendar	
քրոջ	sister's			10	noun,family,from-exercise	
հայրիկի	father's			10	noun,family,from-exercise	
պապիկի	grandfather's			10	noun,family,from-exercise	source prompt says grandmother's
