hy	en	phrase_hy	phrase_en	lesson	tags	note
ամպամած	cloudy			29	adjective,weather	
համալսարան	university	Վաղը մենք կգնանք համալսարան	Tomorrow we will go to university	29	noun,school	
կոնյակ	cognac			29	noun,drinks	
պիցա	pizza			29	noun,food	
թև	arm			29	noun,body	
ուս	shoulder			29	noun,body	
կրծքավանդակ	chest			29	noun,body	
արմունկ	elbow			29	noun,body	
ձեռք	hand, arm			29	noun,body	
մատ	finger			29	noun,body	pl. մատներ
դաստակ	wrist			29	noun,body	
փոր	belly			29	noun,body	
պորտ	navel			29	noun,body	
ծունկ	knee			29	noun,body	
կրունկ	heel			29	noun,body	
եղունգ	nail			29	noun,body	
թաթ	foot (sole), paw			29	noun,body	
ոտք	leg, foot			29	noun,body	
ոտքի մատ	toe			29	noun,body	pl. ոտքի մատներ
բութ մատ	thumb			29	noun,body	
ցուցամատ	index finger			29	noun,body	
միջնամատ	middle finger			29	noun,body	
մատանեմատ	ring finger			29	noun,body	
ճկույթ	little finger			29	noun,body	
