hy	en	phrase_hy	phrase_en	lesson	tags	note
ժամանակ	time			13	noun,time	
հեռուստացույց	TV			13	noun,home	
հեռախոս	phone			13	noun	
դիտել	to watch			13	verb	
նայել	to look (to watch)			13	verb	
սիրուն	beautiful, pretty	Ավելի սիրուն / պակաս սիրուն / ամենասիրուն	more beautiful / less beautiful / the most beautiful	13	adjective	
սովորական	ordinary, usual	Ավելի սովորական / պակաս սովորական / ամենասովորական	more ordinary / less ordinary / the most ordinary	13	adjective	
կարճ	short			13	adjective	
երկար	long			13	adjective	
բարակ	thin			13	adjective	
հաստ	thick			13	adjective	
բարձր	high, tall			13	adjective	
ցածր	low			13	adjective	
բարձրահասակ / բոյով	tall (of people)			13	adjective,people	
ցածրահասակ / կոլոտ	short (of people)			13	adjective,people	
գեր / չաղ	fat			13	adjective,people	
նիհար	thin, slim			13	adjective,people	
ուժեղ	strong			13	adjective	
թույլ	weak			13	adjective	
հարուստ	rich			13	adjective	
աղքատ	poor			13	adjective	
հին	old (of things)			13	adjective	
նոր	new			13	adjective	
ծեր	old (of people)			13	adjective,people	
երիտասարդ	young			13	adjective,people	
տխուր	sad			13	adjective,feelings	
ուրախ	happy, glad			13	adjective,feelings	
ավելի	more	ավելի լավ	better	13	adverb	
պակաս	less	պակաս լավ	less good	13	adverb	
ամենից	of all (superlative marker)			13	adverb	
քան	than	Նա ավելի բարի է, քան ես	She is kinder than me	13	conjunction	
բարի	kind			13	adjective,feelings	
մազ	hair			13	noun,face,body,from-exercise	
