hy	en	phrase_hy	phrase_en	lesson	tags	note
թանկ	expensive (дорогой, of price)			26	adjective	
ձեռք	hand, arm (рука)			26	noun,body	
պատահել	to happen	Ամեն ինչ կարող է պատահել	Anything can happen	26	verb	
դավաճանել	to betray			26	verb,people	
վերադառնալ	to return, to come back			26	verb	
խաբել	to deceive, to cheat			26	verb,people	
հեռանալ	to leave, to go away			26	verb	
ներել	to forgive			26	verb,feelings	
կասկածել	to doubt, to suspect			26	verb,abstract	
վճարել	to pay			26	verb	
հետևել	to follow, to observe			26	verb	
նվիրել	to give as a present			26	verb	
հավատալ	to believe	Հավատա՛ ինձ	Believe me	26	verb,abstract	
վստահ	sure, certain	վստահ լինել	to be sure	26	adjective,abstract	
զգալ	to feel			26	verb,feelings	
սեր	love			26	noun,feelings	
փող	money	Փող չունեմ	I have no money	26	noun	
աղքատ	poor			26	adjective,people	
հիվանդանոց	hospital			26	noun,city,body	
ավտոմեքենա	car			26	noun,transport	
խփել	to hit			26	verb	
կյանք	life			26	noun,abstract	
սիրտ	heart			26	noun,body	
փոխվել	to change (oneself)			26	verb	
հաջողություն	good luck; success			26	noun,greetings	
