hy	en	phrase_hy	phrase_en	lesson	tags	note
հետաքրքիր	interesting	Սա շատ հետաքրքիր գիրք է։	This is a very interesting book.	17	adjective	
սպանել	to kill			17	verb	
հիմար	stupid			17	adjective	
այստեղ	here			17	adverb	spoken ստեղ
այդտեղ	there			17	adverb	spoken ըտեղ
այնտեղ	over there			17	adverb	spoken ընդեղ
այսպես	in this way			17	adverb	spoken սենց
այդպես	in that way			17	adverb	spoken տենց
այնպես	in that way			17	adverb	spoken նենց
այսքան	this much			17	pronoun	spoken էսքան
այդքան	that much			17	pronoun	spoken էդքան
այնքան	that much			17	pronoun	spoken էնքան
այսպիսի	such, this kind of			17	adjective	
այդպիսի	such, that kind of			17	adjective	
այնպիսի	such, that kind of			17	adjective	
դուր գալ	to like (to be pleasing to someone)			17	verb,from-exercise	
դյուրին	easy (= հեշտ)			17	adjective,from-exercise	
