hy	en	phrase_hy	phrase_en	lesson	tags	note
բարդ	complex, complicated			4	adjective	pron. բարթ
երկիր	country			4	noun,countries	
քաղաք	city			4	noun,city	
գյուղ	village			4	noun,city	
հասցե	address			4	noun,city,home	
փողոց	street			4	noun,city	
շենք	building			4	noun,city	
բնակարան	apartment, flat			4	noun,home	
սենյակ	room			4	noun,home	
ննջասենյակ	bedroom			4	noun,home	
ննջել	to take a nap			4	verb,home	
հյուրասենյակ	living room			4	noun,home	
հյուր	guest			4	noun,people,home	
խոհանոց	kitchen			4	noun,home	
առաստաղ	ceiling			4	noun,home	
հատակ	floor (пол)			4	noun,home	
պատ	wall			4	noun,home	
պատուհան / լուսամուտ	window			4	noun,home	
միջանցք	corridor			4	noun,home	
զուգարան	toilet			4	noun,home	pron. զուքարան
բաղնիք	bathroom			4	noun,home	
դու	you (singular)			4	pronoun,letters	
դա	that			4	pronoun,letters	
դաս	lesson			4	noun,school,letters	
դանակ	knife			4	noun,home,food,letters	
դարակ	shelf	Դարակում կարմիր մատիտներ կան։	There are red pencils on the shelf.	4	noun,furniture,letters	
մարդ	man, person			4	noun,people,letters	pron. մարթ
սարդ	spider	Սա սարդ է։	This is a spider.	4	noun,nature,letters	
դար	century			4	noun,time,letters	
դի՛ր	put it! (imperative)			4	verb,letters	
դուրս	outside			4	adverb,letters	
կարդալ	to read	Ես կարդում եմ։	I read / I am reading.	4	verb,school,letters	pron. կարթալ, կարթում
բակ	yard			4	noun,home,letters	
բանալի	key			4	noun,home,letters	
բարեկամ	relative			4	noun,family,letters	
բերան	mouth			4	noun,face,letters	
եղբայր	brother			4	noun,family,letters	
բարի	kind			4	adjective,people,letters	
բնական	natural			4	adjective,letters	
բարակ	thin			4	adjective,letters	
թաց	wet			4	adjective,letters	
բաց	open			4	adjective,letters	
բացել	to open	Խնդրում եմ, բացի՛ր դուռը։	Please open the door.	4	verb,letters	
բացատրել	to explain	Բացատրի՛ր, ո՞վ է այն կինը։	Explain, who is that woman?	4	verb,letters	
բերել	to bring			4	verb,letters	
բայց	but			4	conjunction,letters	
բոլոր	all			4	pronoun,letters	
բառ	word			4	noun,school,letters	
բառարան	dictionary	Գիտե՞ս որտեղ է իմ հայերեն-անգլերեն բառարանը։	Do you know where my Armenian-English dictionary is?	4	noun,school,letters	
