hy	en	phrase_hy	phrase_en	lesson	tags	note
պատ	wall			40	noun,home	
պատկեր	image			40	noun	
պատկերացնել	to imagine			40	verb	
սպասել	to wait			40	verb	
սպասեցնել	to make someone wait			40	verb	
խոսեցնել	to make someone talk			40	verb	
խմեցնել	to make someone drink, to give to drink			40	verb	
ամպամած	cloudy			40	adjective,weather	
մշակույթ	culture			40	noun,abstract	
մշակել	to cultivate			40	verb	
երևի	probably			40	adverb	
սեր	love			40	noun,feelings	gen. սիրո
դուստր	daughter			40	noun,family	gen. դստեր
մարդիկ	people			40	noun,people	gen. մարդկանց
կանայք	women			40	noun,people	gen. կանանց
անկյուն	angle, corner			40	noun	gen. անկյան
արյուն	blood			40	noun,body	gen. արյան
կատու	cat			40	noun,nature	gen. կատվի
մահ	death			40	noun,abstract	gen. մահվան
ուժ	power			40	noun,abstract,from-exercise	
ձայն	voice			40	noun,from-exercise	
իրավունք	right (entitlement)			40	noun,abstract,from-exercise	
շրջանառություն	circulation			40	noun,from-exercise	
իմաստ	meaning			40	noun,abstract,from-exercise	
վախ	fear			40	noun,feelings,from-exercise	
կառուցվածք	structure			40	noun,abstract,from-exercise	
