hy	en	phrase_hy	phrase_en	lesson	tags	note
գալ	to come	Դու գալի՞ս ես տուն։	Are you coming home?	2	verb,letters	
գնալ	to go	Ես գնում եմ տուն։	I am going home.	2	verb,letters	
գրել	to write			2	verb,letters	
գնել	to buy			2	verb,letters	
երգ	song			2	noun,letters	
երգել	to sing	Դու սիրո՞ւմ ես երգել։	Do you like to sing?	2	verb,letters	
կանգնել	to stand, to stop			2	verb,letters	
գարուն	spring			2	noun,seasons,letters	
գարի	barley			2	noun,food,letters	
գրադարան	library	Նա գնում է գրադարան, իսկ դո՞ւ։	He/she is going to the library, and you?	2	noun,city,letters	
միրգ	fruit			2	noun,food,letters	
կարագ	butter	Ես սիրում եմ ուտել մրգեր ու կարագ։	I like to eat fruit and butter.	2	noun,food,letters	
ծառ	tree			2	noun,nature,letters	
ծեր	old (for people)			2	adjective,people,letters	
մեծ	big			2	adjective,letters	
ծույլ	lazy			2	adjective,letters	
ցածր	low			2	adjective,letters	
ծիրան	apricot			2	noun,food,letters	
ծաղիկ	flower			2	noun,nature,letters	
ծնվել	to be born			2	verb,letters	
ծիծաղել	to laugh			2	verb,feelings,letters	
ծխել	to smoke			2	verb,letters	
ծանոթանալ	to get acquainted			2	verb,people,letters	
ծամել	to chew			2	verb,food,letters	
ծարավ	thirsty			2	adjective,feelings,letters	
հոգնած	tired			2	adjective,feelings,letters	pron. հոքնած
զբաղված	busy			2	adjective,feelings,letters	
ամուսնացած	married	Նա ամուսնացած է ու ունի երկու մեծ տուն։	He/she is married and has two big houses.	2	adjective,people,letters	
Ծնունդդ շնորհավոր	Happy birthday!			2	phrase,greetings,letters	
Ֆրանսիա	France	Քո ընկերները հիմա Ֆրանսիայում են։	Your friends are in France now.	2	noun,countries,letters	
ֆիզիկա	physics	Այսօր նրանք ֆիզիկայի դաս չունեն։	Today they have no physics lesson.	2	noun,school,letters	
ֆուտբոլ	football	Դու սիրում ես ֆուտբո՞լ խաղալ, թե՞ թենիս։	Do you like to play football, or tennis?	2	noun,letters	
ֆուտբոլասեր	football fan			2	noun,people,letters	
ունենալ	to have	Ես ունեմ։ Ես չունեմ։	I have. I don't have.	2	verb	
գիտենալ	to know	Գիտե՞ս իմ անունը։	Do you know my name?	2	verb	
հայերեն	Armenian (language)			2	noun,languages	
անգլերեն	English (language)			2	noun,languages	
ռուսերեն	Russian (language)			2	noun,languages	
գերմաներեն	German (language)			2	noun,languages	
իտալերեն	Italian (language)			2	noun,languages	
