hy	en	phrase_hy	phrase_en	lesson	tags	note
Ուրախ տոներ	Happy holidays			8	phrase,greetings	
կա / չկա	there is / there is not			8	verb	
կան / չկան	there are / there are not			8	verb	
խելացի	smart			8	adjective	
լուրջ	seriously			8	adverb	
անել	to do			8	verb	
ուզել	to want			8	verb	
գրել	to write			8	verb	
կարդալ	to read			8	verb	pron. կարթալ
աշխատել	to work			8	verb,work	
ապրել	to live			8	verb	
գնալ	to go			8	verb	
ուտել	to eat			8	verb,food	
խմել	to drink			8	verb,drinks	
ծխել	to smoke			8	verb	
արթնանալ	to wake up			8	verb	
ուշանալ	to be late			8	verb	
պատմել	to tell (рассказывать)			8	verb	
զրուցել	to converse, to talk with (разговаривать)			8	verb	
ասել	to say (говорить)			8	verb	
խոսել	to speak, to talk			8	verb	
մնալ	to stay			8	verb	
մրսել	to be / feel cold (быть замёрзшим)			8	verb	
տխրել	to be sad			8	verb,feelings	
ուրախանալ	to be glad, to rejoice (радоваться)			8	verb,feelings	
սիրել	to love			8	verb,feelings	
հիշել	to remember			8	verb	
մոռանալ	to forget			8	verb	
զրո	0 — zero			8	numeral,numbers	
մեկ	1 — one			8	numeral,numbers	
երկու	2 — two			8	numeral,numbers	
երեք	3 — three			8	numeral,numbers	
չորս	4 — four			8	numeral,numbers	
հինգ	5 — five			8	numeral,numbers	
վեց	6 — six			8	numeral,numbers	
յոթ	7 — seven			8	numeral,numbers	
ութ	8 — eight			8	numeral,numbers	
ինը	9 — nine			8	numeral,numbers	
տասը / տասն	10 — ten			8	numeral,numbers	
տասնմեկ	11 — eleven	Տաս + ն + մեկ = տասնմեկ	ten + n + one = eleven	8	numeral,numbers	
տասներկու	12 — twelve			8	numeral,numbers	
տասներեք	13 — thirteen			8	numeral,numbers	
քսան	20 — twenty			8	numeral,numbers	
քսանմեկ	21 — twenty-one			8	numeral,numbers	
երեսուն	30 — thirty			8	numeral,numbers	
երեսունմեկ	31 — thirty-one			8	numeral,numbers	
քառասուն	40 — forty			8	numeral,numbers	
հիսուն	50 — fifty			8	numeral,numbers	
վաթսուն	60 — sixty			8	numeral,numbers	
յոթանասուն	70 — seventy			8	numeral,numbers	
ութսուն	80 — eighty			8	numeral,numbers	
իննսուն	90 — ninety			8	numeral,numbers	
հարյուր	100 — hundred			8	numeral,numbers	
հազար	1000 — thousand			8	numeral,numbers	
միլիոն	million			8	numeral,numbers	
միլիարդ	billion			8	numeral,numbers	
զգալ	to feel			8	verb,from-exercise	
