լավանալ	to get better, to recover · Լավ ա, որ լավանում ես։ — It's good that you are getting better.
վատանալ	to get worse
երեկ չէ առաջին օրը	the day before yesterday (позавчера)
վաղը չէ մյուս օրը	the day after tomorrow (послезавтра)
մի ժամ ու կես / մի ժամ երեսուն րոպե	an hour and a half / one hour thirty minutes
քեզ / ձեզ	you (object form: sg. informal / pl. or formal)
համար	for · քեզ համար — for you
ուղարկել	to send · Ուղարկի — Send! (imperative)
սիրած	favourite · Ո՞րն է քո սիրած սրճարանը Երևանում։ — Which is your favourite café in Yerevan?
որտեղի՞ց	where from (откуда) · Որտեղի՞ց ես գալիս։ — Where are you coming from?
բանկ	bank · Բանկ / Բանկից — to the bank / from the bank
հյուրանոց	hotel · Հյուրանոց / Հյուրանոցից — to the hotel / from the hotel
մարզասրահ	gym · Մարզասրահ / Մարզասրահից — to the gym / from the gym
վարսավիրանոց	hair salon · Վարսավիրանոց / Վարսավիրանոցից — to the hair salon / from the hair salon
դեսպանատուն	embassy · Դեսպանատուն / Դեսպանատնից — to the embassy / from the embassy
դեղատուն	pharmacy · Դեղատուն / Դեղատնից — to the pharmacy / from the pharmacy
հիվանդանոց	hospital · Հիվանդանոց / Հիվանդանոցից — to the hospital / from the hospital
աշխատանք	work · Աշխատանքի / Աշխատանքից — to work / from work
հանդիպում	meeting · Հանդիպման / Հանդիպումից — to a meeting / from a meeting
ընդմիջում	break · Ընդմիջման / Ընդմիջումից — for a break / from a break
