ոգևորված	excited, enthusiastic (воодушевленный) · Շատ ոգևորված եմ — I am very excited
դեմք	such a character (lit. face; spoken) · Դու դեմք ես, նա (ինքը) դեմք ա — You are such a character, he is such a character
սա	this · Ի՞նչ է սա։ Սա գիրք է։ — What is this? This is a book.
սրանք	these · Ինչե՞ր են սրանք։ Սրանք լուսանկարներ են։ — What are these? These are photographs.
դրանք	those · Դրանք իմ գրքերն են։ — Those are my books.
նրանք	those over there
լուսանկար	photograph (pron. լուսանըկար)
ինչո՞վ	by what, how (by what means) · Ինչո՞վ ես գնում։ — How are you getting there?
ինչո՞ւ	why · Ինչո՞ւ ես գնում։ — Why are you going?
ո՞ւմ հետ	with whom · Ո՞ւմ հետ ես գնում։ — With whom are you going?
ոտք	foot · ոտքով — on foot
մետրո	metro · մետրոյով — by metro
տաքսի	taxi · տաքսիով — by taxi
ավտոբուս	bus · ավտոբուսով — by bus
ինքնաթիռ	plane · ինքնաթիռով — by plane
ավտոմեքենա / մեքենա	car · ավտոմեքենայով / մեքենայով — by car
գնացք	train · գնացքով — by train
հեծանիվ	bicycle · հեծանիվով — by bicycle
պարել	to dance · պարելու — (in order) to dance
կեսօրին	at noon
երեկոյան	in the evening
գիշերը	at night
կեսգիշերին	at midnight
մենակ	alone
ընկերոջս հետ	with my friend (pron. ընկերոչըս)
ընկերներիս հետ	with my friends
գործընկերներիս / իմ գործընկերների հետ	with my colleagues
երեխաներիս / իմ երեխաների հետ	with my children
ծնողներիս / իմ ծնողների հետ	with my parents
տատիկիս հետ	with my grandmother
