գալ	to come · Դու գալի՞ս ես տուն։ — Are you coming home?
գնալ	to go (cf. գնել — to buy) · Ես գնում եմ տուն։ — I am going home.
գրել	to write
գնել	to buy
երգ	song
երգել	to sing (pron. երքել) · Դու սիրո՞ւմ ես երգել։ — Do you like to sing?
կանգնել	to stand, to stop
գարուն	spring · Գարնանը — in spring
գարի	barley
գրադարան	library · Նա գնում է գրադարան, իսկ դո՞ւ։ — He/she is going to the library, and you?
միրգ	fruit (pl. մրգեր)
կարագ	butter · Ես սիրում եմ ուտել մրգեր ու կարագ։ — I like to eat fruit and butter.
ծառ	tree (pl. ծառեր)
ծեր	old (for people)
մեծ	big
ծույլ	lazy
ցածր	low
ծիրան	apricot
ծաղիկ	flower (pl. ծաղիկներ)
ծնվել	to be born
ծիծաղել	to laugh
ծխել	to smoke
ծանոթանալ	to get acquainted
ծամել	to chew
ծարավ	thirsty · Ծարավ եմ — I am thirsty
զբաղված	busy · Զբաղված եմ — I am busy
ամուսնացած	married · Նա ամուսնացած է ու ունի երկու մեծ տուն։ — He/she is married and has two big houses.
Ծնունդդ շնորհավոր	Happy birthday!
Ֆրանսիա	France · Քո ընկերները հիմա Ֆրանսիայում են։ — Your friends are in France now.
ֆիզիկա	physics · Այսօր նրանք ֆիզիկայի դաս չունեն։ — Today they have no physics lesson.
ֆուտբոլ	football · Դու սիրում ես ֆուտբո՞լ խաղալ, թե՞ թենիս։ — Do you like to play football, or tennis?
ֆուտբոլասեր	football fan
ունենալ	to have · Ես ունեմ։ Ես չունեմ։ — I have. I don't have.
գիտենալ	to know · Գիտե՞ս իմ անունը։ — Do you know my name?
հայերեն	Armenian (language) · Դու հայերեն գիտե՞ս։ — Do you know Armenian?
անգլերեն	English (language)
ռուսերեն	Russian (language)
գերմաներեն	German (language)
իտալերեն	Italian (language)
