Ի՞նչ օր է այսօր	What day is it today?
երկուշաբթի	Monday · Երեկ երկուշաբթի էր — Yesterday it was Monday
երեքշաբթի	Tuesday · Այսօր երեքշաբթի է, կիրակի չէ — Today is Tuesday, it is not Sunday
չորեքշաբթի	Wednesday · Վաղը չորեքշաբթի է — Tomorrow is Wednesday
հինգշաբթի	Thursday · Կհանդիպենք հինգշաբթի / հինգշաբթի օրը — See you on Thursday
ուրբաթ	Friday
շաբաթ	Saturday
կիրակի	Sunday
վաղը	tomorrow · Ի՞նչ օր է վաղը — What day is it tomorrow?
Ինչպե՞ս ես / Ո՞նց ես	How are you? (singular)
Ինչպե՞ս եք / Ո՞նց եք	How are you? (plural)
սովորական	normal, as usual · Ավելի սովորական / պակաս սովորական / ամենասովորական — more ordinary / less ordinary / the most ordinary
լավ	well, good · Լավ եմ / Լավ չեմ — I am well / I am not well
վատ	bad · Վատ եմ — I am bad / I feel bad
տխուր	sad · Տխուր եմ — I am sad
ազատ	free · Ազատ եմ — I am free
հիվանդ	sick · Հիվանդ եմ — I am sick
առողջ	healthy · Առողջ եմ — I am healthy
բարկացած	angry · Բարկացած եմ — I am angry
անհանգիստ	worried · Անհանգիստ եմ — I am worried
հանգիստ	relaxed, calm
հպարտ	proud (pron. հըպարտ) · Հպարտ եմ — I am proud
զարմացած	surprised · Զարմացած եմ — I am surprised
մտահոգված	concerned (pron. մտահոքված) · Մտահոգված եմ — I am concerned
հիասթափված	disappointed · Հիասթափված եմ — I am disappointed
Ի՞նչ նորություն կա	What's new?
Ամեն ինչ կարգին է	Everything is OK
Ի՞նչ կա չկա	What's up?
Ինչպե՞ս են գործերդ	How are things going?
հրաշալի	wonderful
ապրել	to live
երաժշտություն	music
ուտելիք	food
միասին	together
առավոտյան	in the morning
