մեծանալ	to grow, to get bigger (from մեծ — big)
փոքրանալ	to get smaller (from փոքր — small)
Ի՞նչ էիր անում երեկ։	What were you doing yesterday?
ռեստորան	restaurant · Մենք Լալի ռեստորանում էինք — We were at the Lali restaurant
ընկերոջ	friend's; (with) a friend — gen./dat. of ընկեր · Ես ռեստորանում էի երկու ընկերոջ հետ — I was at a restaurant with two friends
հատ	piece (counting word) · Քանի՞ հատ նեգրոնի խմեցիր։ — How many negronis did you drink?
նեգրոնի	negroni
եթե	if
լսել	to listen
տանը	at home
ամուսնանալ	to get married
իմանալ	to know
ձանձրանալ	to get bored
խոստանալ	to promise
բարկանալ	to be angry
հիվանդանալ	to get sick
առողջանալ	to get well, to recover
գողանալ	to steal
բարձրանալ	to rise, to climb, to get on (pron. բարցրանալ)
հանգստանալ	to rest, to calm down
մոտենալ	to come closer, to approach
