Իսպանիա	Spain · Իսպանիայի դեսպանատուն — the Spanish embassy (lit. Spain's embassy)
Որտեղի՞ դեսպանատուն	the embassy of where? (which country's embassy?)
վաճառել	to sell
վճարել	to pay (Վճարեցի is a simple past form) · Վճարեցի — I paid
գնել / առնել	to buy · գնելու — (in order) to buy
ընկերուհի	female friend (gen. ընկերուհու) · Իմ ընկերուհու անունը Մերի է։ — My girlfriend's name is Mary
ամեն օր	every day
թարգմանել	to translate (pron. թարքմանել)
անցյալ տարի	last year
անցյալ շաբաթ	last week (also անցած շաբաթ)
անցյալ ամիս	last month (also անցած ամիս)
եղանակ	weather · Ի՞նչ եղանակ է այսօր։ — What is the weather like today?
շոգ	hot · Շատ շոգ է — It is very hot
տաք	warm
ցուրտ	cold
արև	sun
արևային / արևոտ	sunny
անձրև	rain · Անձրև չի գալիս։ — It is not raining.
անձրևային / անձրևոտ	rainy
քամի	wind
քամոտ	windy
ձյունոտ	snowy
մառախուղ	fog
մառախլապատ	foggy
ջերմաստիճան	temperature · Ինչքա՞ն է օդի ջերմաստիճանը այսօր։ — What is the air temperature today?
օդ	air (pron. օթ) · Օդի ջերմաստիճանը պլյուս/մինուս հինգ է։ — The air temperature is plus/minus five.
